"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"POU4F1 ",1488.3181711317,-8.63126299206034,0.584137409404866,-14.776083252148,2.08970168113071e-49,3.59616762305783e-45
"CD300E ",1487.78858019801,7.97655612055273,0.547060963019662,14.5807444869102,3.72432931798306e-48,3.20459916165853e-44
"P2RY2 ",705.235028044231,5.87854186555824,0.445909308268004,13.1832678900371,1.09541076670494e-39,6.28364129474179e-36
"VWA2 ",2507.52483007517,-7.43798722035464,0.599364109197546,-12.4097974940691,2.31236891525883e-35,9.94838916567232e-32
"CCN2 ",1350.98133183303,-4.2378366390286,0.355975164533013,-11.9048660166729,1.11642478152897e-32,3.84251081306642e-29
"TFEC ",1377.86118894258,6.09515362529625,0.523336638336347,11.6467168143861,2.38470392194671e-31,6.83972829879683e-28
"NFAM1 ",1451.01177474543,4.40049574814842,0.379066342937188,11.6087746383687,3.71906930426287e-31,9.14306623672282e-28
"GATA2 ",578.849492641973,4.90796350225864,0.42921541650735,11.434732569012,2.80399315416262e-30,6.03173977374806e-27
"AASS ",416.726707808672,-7.37507167778077,0.654023899550609,-11.27645592592,1.7151746993886e-29,3.27960460019759e-26
"PTAFR ",1207.90328384912,4.3493852231589,0.387760652449865,11.2166750176419,3.37730963005738e-29,5.81201214236575e-26
"FHIT ",793.430010858729,-4.65243235283184,0.441991625772803,-10.5260644807405,6.5516669592223e-26,1.02497851546597e-22
"MPEG1 ",2726.74747666072,3.68375473693169,0.356392987464857,10.3362155443503,4.83246067866302e-25,6.93015131825933e-22
"MCAM ",1060.06581982231,-7.26793584828274,0.705733316811115,-10.2984168029975,7.16304505778142e-25,9.48221864610465e-22
"SIRPB2 ",655.25204549368,5.2045865092644,0.511056252531722,10.1839797155037,2.33799494085402e-24,2.87389678122549e-21
"TNFSF13B ",640.683997543439,4.80236668105626,0.472010745350882,10.174274057016,2.58318915022231e-24,2.96360680574505e-21
"VCAN ",5189.96599836399,4.45766324991156,0.443760350365279,10.0452040076187,9.64479026066874e-24,1.03735747247405e-20
"CLEC7A ",567.484410096047,4.67657951676921,0.468119760492428,9.99013481475293,1.68352621003266e-23,1.70422367932071e-20
"RASAL2 ",918.60043587965,-8.06355589267388,0.819107885005052,-9.8443148213915,7.25317485456419e-23,6.93443811512196e-20
"MAGI3 ",303.29159498963,-4.79713149727847,0.487895764449658,-9.83228764588598,8.17405160651209e-23,7.40353968928771e-20
"GLI3 ",320.184929558421,-7.00337493228015,0.714929477524971,-9.79589617220047,1.1725298504025e-22,1.00890330977883e-19
"RASGRP4 ",815.510571269158,4.35479136682689,0.445509120168813,9.77486468779082,1.44350086580307e-22,1.18291459045739e-19
"IL5RA ",199.128204435065,5.73497400129816,0.598650505069989,9.57983657030018,9.71986170688549e-22,7.60314091426329e-19
"LOC107984993 ",412.305100356946,-4.35277660191624,0.46034514077791,-9.45546333900851,3.21594488436576e-21,2.40622589195871e-18
"MEFV ",492.22221816075,4.49932017272985,0.480722649612509,9.35949278935904,8.01203789665219e-21,5.74496500681198e-18
"FCN1 ",3239.77373448379,3.91233341151438,0.421328329429992,9.28571173176821,1.60629985572706e-20,1.10571256868828e-17
"CHRNB4 ",288.056838092063,-7.13834736156617,0.770370852428494,-9.26611818069629,1.93043865325477e-20,1.27772764553313e-17
"RAB17 ",299.809260832909,-6.17344039206293,0.675281542469546,-9.14202447987292,6.12939590108732e-20,3.90669533562265e-17
"SLCO3A1 ",406.087956312411,4.12754033724537,0.454657476532409,9.07835139702393,1.10231774839842e-19,6.77492361863873e-17
"TES ",556.327708306199,4.54115487558286,0.500725029927877,9.06915892787896,1.19939236880624e-19,7.11735974992638e-17
"ITGAX ",2106.22131354534,4.23638793297529,0.470072242040112,9.01220611238258,2.01952339384233e-19,1.15846593615442e-16
"BMP2 ",521.266403719209,-5.91843246623918,0.659432081243911,-8.97504479168655,2.83236523906101e-19,1.57232817416132e-16
"CLEC12A ",1231.3062940594,5.42038659645836,0.606974166862292,8.93017675608609,4.25328670827842e-19,2.28733784258636e-16
"DBNDD1 ",265.253635152183,-5.12256011714356,0.578290939802694,-8.8581019769933,8.13882488922727e-19,4.24427386420339e-16
"FGL2 ",2557.18720375316,4.10376578151063,0.468737398070631,8.75493570259624,2.042198750828e-18,1.01178075896431e-15
"TLR8 ",839.23391078702,6.05586057381928,0.691775909291007,8.75407844142168,2.0577794505056e-18,1.01178075896431e-15
"KHDRBS3 ",218.315357087947,-6.96612041477838,0.796099195118248,-8.75031711813711,2.12754028423089e-18,1.01702335420359e-15
"NEO1 ",223.827263702588,-4.3368885563885,0.496111323398525,-8.74176490606864,2.29496665125185e-18,1.06740759733495e-15
"FGR ",1798.37055684282,3.38628817765945,0.391446068276893,8.65071449705845,5.11779909462094e-18,2.31768959524557e-15
"HK3 ",1469.78562036508,3.33705459357567,0.389477674195678,8.56802537004751,1.05274607629589e-17,4.64530954537843e-15
"TMEM150C ",230.325228209047,-5.07608199190474,0.5985026467254,-8.48130249661821,2.22686819577197e-17,9.58054369525998e-15
"SLC16A2 ",631.414225509897,-12.7325979979566,1.5188338714627,-8.38314066942331,5.15338265788516e-17,2.16303810145234e-14
"ARHGEF10L ",469.436115348541,6.15557121634221,0.743961358223323,8.27404696265748,1.2948712242906e-16,5.30558069019452e-14
"TNFSF8 ",451.551182609092,3.75052406639915,0.454245559235866,8.25660040069141,1.49880157941976e-16,5.99834334424064e-14
"MSRB3 ",580.490392801456,4.61369692196194,0.562715132166555,8.19899209782821,2.42410859792138e-16,9.48101928673388e-14
"UGT3A2 ",578.342113403315,-3.13612153577781,0.384158448201227,-8.163614650315,3.25145046661479e-16,1.24342691288831e-13
"SHANK1 ",780.894319731766,-3.4771512535365,0.426817043226988,-8.14670198557956,3.73983831691911e-16,1.39910603469263e-13
"RGS18 ",618.179477156809,4.27871384922299,0.525689076785848,8.13924815669324,3.97740008302277e-16,1.4563208091221e-13
"HTATSF1P2 ",191.025165714799,4.79048759250873,0.59478692950122,8.05412384654444,8.00501345063404e-16,2.86996409316586e-13
"RAB44 ",883.357960741634,5.08576233801423,0.632062627248836,8.04629496945723,8.53381668713474e-16,2.99711125242657e-13
"SIRPB1 ",1743.74867327755,5.02135393192927,0.62473251995807,8.03760612984624,9.1610543381441e-16,3.15305168210244e-13
"GAPT ",579.092401152558,4.70260792836313,0.585529192746381,8.03138082032408,9.63816727106913e-16,3.25222001113389e-13
"TBC1D2 ",757.068564976128,3.62793218340592,0.454174103244966,7.98797676372387,1.37171296810173e-15,4.53957855155052e-13
"C5AR2 ",256.00256890217,4.31982982841333,0.541305834078653,7.98038660670641,1.45875658574328e-15,4.73655511019925e-13
"FYB1 ",1576.25244425879,3.79681687213723,0.476618359333321,7.9661574041086,1.63684426363765e-15,5.21638017276672e-13
"MS4A2 ",284.001579987672,5.74577252373879,0.723389645594767,7.94284595961371,1.97594274581055e-15,6.18254522048249e-13
"KCNH3 ",116.339021861064,5.26907856694208,0.667717657492522,7.89117751764875,2.9934848813275e-15,9.19363515595651e-13
"ADGRE3 ",291.815998867192,4.91186278455703,0.622618358614145,7.88904264803579,3.04513454523517e-15,9.19363515595651e-13
"HEY2 ",148.302014040968,-6.60158536980476,0.837180261019965,-7.88550050351381,3.13277326677284e-15,9.29515433584376e-13
"SLC11A1 ",1212.61585244001,4.25104108679348,0.542907745260184,7.83013527419139,4.87345321004622e-15,1.42147892019806e-12
"NR3C2 ",273.8365151517,-4.18076072946008,0.538992097249618,-7.75662713942146,8.72178691151879e-15,2.50155384933878e-12
"LOC728989 ",221.537166113981,-4.10085494219368,0.530334561217555,-7.73258098204809,1.05387735576731e-14,2.97314351072125e-12
"GLIPR2 ",747.2000596275,3.50614416730688,0.454028386362442,7.72230167236282,1.14247602204326e-14,3.17110804247458e-12
"HCK ",1111.1443016006,3.25914138646707,0.423256281440378,7.700160704942,1.35895213257925e-14,3.71209638881847e-12
"LOC105377267 ",178.662158410354,6.30027058615931,0.818703361765904,7.69542532788668,1.41024271064564e-14,3.79201043867201e-12
"CEBPD ",398.151287838631,3.78889683664658,0.494716423743629,7.65872458402564,1.87788623614319e-14,4.97177603658279e-12
"MARCHF1 ",881.529197982253,3.22997828418491,0.42358760241016,7.62528994193112,2.43486494565909e-14,6.34872588634049e-12
"SAMHD1 ",2336.6390000916,3.54995450285499,0.466108425344532,7.61615604830781,2.61341713371615e-14,6.71258141106288e-12
"PLPPR2 ",391.037471476818,3.40301318392438,0.447434317361542,7.60561506321525,2.83552097161917e-14,7.1759530000874e-12
"CLEC12B ",183.21409766293,6.52999215463368,0.860147120400063,7.59171541677256,3.15697783044009e-14,7.87368572232515e-12
"GRID2IP ",206.027281625456,-4.39016429539651,0.57899790271332,-7.58234921892319,3.39353365621183e-14,8.34276009853562e-12
"OR7A5 ",272.157515573632,-11.5183952064236,1.5330120298223,-7.51357131082574,5.75357786112833e-14,1.39455382270644e-11
"PILRA ",288.926422856402,3.99725790255972,0.532632994255454,7.50471327475184,6.15632024614668e-14,1.47144604327692e-11
"LRRC25 ",824.470816700542,4.48300108632574,0.600890375789251,7.46059725193211,8.61311537882206e-14,2.03045345964588e-11
"ATRNL1 ",613.187373061013,-10.2778397419253,1.38706271480836,-7.40978733852368,1.26502105091256e-13,2.94185773853436e-11
"CST3 ",417.932512354891,2.87993913976799,0.388896060066997,7.40542123073155,1.30734821149708e-13,2.98214462021268e-11
"GLB1L3 ",369.280874750132,-6.82876601985762,0.922427201302576,-7.40304059790799,1.33101034893853e-13,2.98214462021268e-11
"ENTPD7 ",329.536299381971,3.90299991707141,0.527263437833268,7.40237163629317,1.33773485405347e-13,2.98214462021268e-11
"JAML ",668.614463055155,3.99669334449741,0.54002095825549,7.40099672688357,1.35166064487529e-13,2.98214462021268e-11
"S100A10 ",246.736593278113,3.91951460474095,0.529722676515672,7.39918221081666,1.37025724844832e-13,2.98490594791737e-11
"RASEF ",205.670980425839,-8.68497144484895,1.17527694994297,-7.38972328630317,1.47134691599661e-13,3.16505113467322e-11
"LRP1 ",4804.3509293472,3.35485787847425,0.459001756922327,7.30903058186325,2.69076530998282e-13,5.71671360734498e-11
"TYMP ",896.37215667219,4.04409925513984,0.554541885623097,7.2926849350537,3.03838069251129e-13,6.37652357773497e-11
"PLEKHG4B ",893.194912023696,-7.3354160614183,1.00678129163136,-7.28600751959958,3.1927516475638e-13,6.61976663890668e-11
"ERVH48-1 ",188.814931474793,-4.76414888062787,0.657109450466195,-7.25016034581132,4.16278522181901e-13,8.52825843836707e-11
"SUCNR1 ",1337.02826146851,5.97796118181104,0.82603784645162,7.23690955261958,4.5902404285045e-13,9.29334676872165e-11
"NDRG4 ",404.130034897438,-7.4890007373854,1.03516344618705,-7.23460702265964,4.66879045510398e-13,9.34246685370749e-11
"ECM1 ",1165.41342408622,-3.13321782360337,0.433209149902881,-7.23257536066768,4.73919494884472e-13,9.37434550283549e-11
"LINC01410 ",138.241753539107,4.44403392369138,0.616165669802645,7.2124010497287,5.49737771893879e-13,1.07504969505929e-10
"SULT1B1 ",374.422232119655,4.54264905224289,0.630735596466104,7.20214473020791,5.92727269419904e-13,1.14609478420754e-10
"KCNQ1 ",133.456895609839,5.22443327364255,0.728203224840623,7.17441655766628,7.26161953895235e-13,1.38850234050923e-10
"PNMA8B ",100.477445277855,-5.27955961204851,0.737351674511148,-7.16016494510408,8.05800458498545e-13,1.52384836157159e-10
"AOAH ",612.051641025354,4.04921322691703,0.567489287310163,7.13531218555659,9.65677335103442e-13,1.80634144128208e-10
"APOLD1 ",524.498222245007,-2.71251216875059,0.381371505580353,-7.11251923402831,1.13943650342656e-12,2.10844761155567e-10
"TBL1X ",459.383807158072,2.84122163304662,0.399919102288195,7.10449092526504,1.2076685561209e-12,2.20534762272448e-10
"P2RX7 ",473.098029468414,3.64641366155953,0.513335113323255,7.1033786057478,1.21743287906808e-12,2.20534762272448e-10
"DOK4 ",567.762250906274,-2.80162310333784,0.394614190892341,-7.09965117321941,1.25072168502409e-12,2.24204890391454e-10
"LOC107986195 ",455.520702944215,-6.58910432010008,0.928778229507193,-7.09437851875172,1.29934052046137e-12,2.30519082645564e-10
"CECR2 ",303.207671804148,-6.70294880570169,0.945403883956577,-7.09003730516677,1.3407585333135e-12,2.35439934691755e-10
"HDC ",671.867066580396,6.60013345116084,0.931952411330341,7.08204986748121,1.42037522330978e-12,2.46901386039778e-10
"LOC101928343 ",89.2527870934763,5.90913884186312,0.836924716895089,7.06053808971668,1.65859072692466e-12,2.85426878196466e-10
"PTPN14 ",1559.96975484687,-2.90059234536267,0.41176573986817,-7.04427800693501,1.86425603867132e-12,3.15176877623683e-10
"CAPN2 ",1067.98990498059,2.9691146094769,0.421510245356683,7.04399155698915,1.86809468984925e-12,3.15176877623683e-10
"CA6 ",123.84716085841,-3.94074450153825,0.560287669868064,-7.03343070616959,2.0151607667702e-12,3.36688365391731e-10
"OTULINL ",648.183545600695,3.97715409020234,0.567628220938662,7.00661796488112,2.44147721580573e-12,4.03994051988469e-10
"RAB31 ",1136.77397551478,3.19097390520736,0.456349110463147,6.99239646149163,2.70229935063909e-12,4.42893995477601e-10
"MAP2K6 ",418.446712696214,4.98161377785454,0.713324537474258,6.98365682960166,2.87594068219047e-12,4.66906256602036e-10
"BTNL9 ",900.221132706029,-6.57921492204613,0.948211967710408,-6.93854870650133,3.96148415051263e-12,6.37132530338054e-10
"TNFAIP2 ",2355.90542464987,2.46284677113583,0.357467710974104,6.88970414817199,5.59085385648957e-12,8.90861148299342e-10
"SPIB ",185.234186784856,3.61295315814519,0.526253188624047,6.86542758551581,6.62923865806077e-12,1.0466290648309e-09
"NACC2 ",358.87773788824,4.13710573811474,0.608247593815571,6.80168040149974,1.03405802330437e-11,1.61773677482226e-09
"FCGR1A ",153.644106735934,3.46293821554254,0.509428641664464,6.79769045617072,1.06309561451035e-11,1.64818130000978e-09
"MNDA ",1035.76851263414,2.92645774055212,0.431726017869129,6.77850678306637,1.21424277130156e-11,1.86570570101147e-09
"FERMT2 ",230.339036428359,-5.8637238230096,0.867661566073495,-6.75807717235329,1.39835048694985e-11,2.12957641857699e-09
"FLVCR2 ",124.212875240974,4.55371067705678,0.674076233020131,6.75548321390049,1.42359990150279e-11,2.1490114653475e-09
"HAVCR2 ",261.216831519449,3.57825013362029,0.53144042546427,6.73311619170541,1.66067339534449e-11,2.48508943134637e-09
"F5 ",1008.14474124368,6.08988763317677,0.90492154346689,6.72974102245981,1.69965327579151e-11,2.50999896913446e-09
"C14orf132 ",212.785008087225,-7.4407287248976,1.10574457928085,-6.72915686345653,1.70649008884149e-11,2.50999896913446e-09
"MYO1F ",2523.01657723012,2.82226065391356,0.419519584224206,6.72736329850396,1.7276501178568e-11,2.51958736255913e-09
"SPRY1 ",891.924696136552,-2.7773335638091,0.413013471392809,-6.72455926060492,1.76124729605762e-11,2.54700039645845e-09
"FZD8 ",111.336166621319,-6.21116439758407,0.927509296914919,-6.69660608065455,2.13315616521904e-11,3.05912370393787e-09
"LOC105375903 ",105.347099904776,-4.24237748650641,0.633924472576257,-6.69224437615647,2.19773442080902e-11,3.12568691303326e-09
