"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","abs_log2FC"
"SLC11A1 ",1212.61585244001,4.25104108679348,0.542907745260184,7.83013527419139,4.87345321004622e-15,1.42147892019806e-12,4.25104108679348
"NR3C2 ",273.8365151517,-4.18076072946008,0.538992097249618,-7.75662713942146,8.72178691151879e-15,2.50155384933878e-12,4.18076072946008
"LOC728989 ",221.537166113981,-4.10085494219368,0.530334561217555,-7.73258098204809,1.05387735576731e-14,2.97314351072125e-12,4.10085494219368
"LOC105377267 ",178.662158410354,6.30027058615931,0.818703361765904,7.69542532788668,1.41024271064564e-14,3.79201043867201e-12,6.30027058615931
"CLEC12B ",183.21409766293,6.52999215463368,0.860147120400063,7.59171541677256,3.15697783044009e-14,7.87368572232515e-12,6.52999215463368
"GRID2IP ",206.027281625456,-4.39016429539651,0.57899790271332,-7.58234921892319,3.39353365621183e-14,8.34276009853562e-12,4.39016429539651
"OR7A5 ",272.157515573632,-11.5183952064236,1.5330120298223,-7.51357131082574,5.75357786112833e-14,1.39455382270644e-11,11.5183952064236
"LRRC25 ",824.470816700542,4.48300108632574,0.600890375789251,7.46059725193211,8.61311537882206e-14,2.03045345964588e-11,4.48300108632574
"ATRNL1 ",613.187373061013,-10.2778397419253,1.38706271480836,-7.40978733852368,1.26502105091256e-13,2.94185773853436e-11,10.2778397419253
"GLB1L3 ",369.280874750132,-6.82876601985762,0.922427201302576,-7.40304059790799,1.33101034893853e-13,2.98214462021268e-11,6.82876601985762
"RASEF ",205.670980425839,-8.68497144484895,1.17527694994297,-7.38972328630317,1.47134691599661e-13,3.16505113467322e-11,8.68497144484895
"TYMP ",896.37215667219,4.04409925513984,0.554541885623097,7.2926849350537,3.03838069251129e-13,6.37652357773497e-11,4.04409925513984
"PLEKHG4B ",893.194912023696,-7.3354160614183,1.00678129163136,-7.28600751959958,3.1927516475638e-13,6.61976663890668e-11,7.3354160614183
"ERVH48-1 ",188.814931474793,-4.76414888062787,0.657109450466195,-7.25016034581132,4.16278522181901e-13,8.52825843836707e-11,4.76414888062787
"SUCNR1 ",1337.02826146851,5.97796118181104,0.82603784645162,7.23690955261958,4.5902404285045e-13,9.29334676872165e-11,5.97796118181104
"NDRG4 ",404.130034897438,-7.4890007373854,1.03516344618705,-7.23460702265964,4.66879045510398e-13,9.34246685370749e-11,7.4890007373854
"LINC01410 ",138.241753539107,4.44403392369138,0.616165669802645,7.2124010497287,5.49737771893879e-13,1.07504969505929e-10,4.44403392369138
"SULT1B1 ",374.422232119655,4.54264905224289,0.630735596466104,7.20214473020791,5.92727269419904e-13,1.14609478420754e-10,4.54264905224289
"KCNQ1 ",133.456895609839,5.22443327364255,0.728203224840623,7.17441655766628,7.26161953895235e-13,1.38850234050923e-10,5.22443327364255
"PNMA8B ",100.477445277855,-5.27955961204851,0.737351674511148,-7.16016494510408,8.05800458498545e-13,1.52384836157159e-10,5.27955961204851
"AOAH ",612.051641025354,4.04921322691703,0.567489287310163,7.13531218555659,9.65677335103442e-13,1.80634144128208e-10,4.04921322691703
"LOC107986195 ",455.520702944215,-6.58910432010008,0.928778229507193,-7.09437851875172,1.29934052046137e-12,2.30519082645564e-10,6.58910432010008
"CECR2 ",303.207671804148,-6.70294880570169,0.945403883956577,-7.09003730516677,1.3407585333135e-12,2.35439934691755e-10,6.70294880570169
"HDC ",671.867066580396,6.60013345116084,0.931952411330341,7.08204986748121,1.42037522330978e-12,2.46901386039778e-10,6.60013345116084
"LOC101928343 ",89.2527870934763,5.90913884186312,0.836924716895089,7.06053808971668,1.65859072692466e-12,2.85426878196466e-10,5.90913884186312
"MAP2K6 ",418.446712696214,4.98161377785454,0.713324537474258,6.98365682960166,2.87594068219047e-12,4.66906256602036e-10,4.98161377785454
"BTNL9 ",900.221132706029,-6.57921492204613,0.948211967710408,-6.93854870650133,3.96148415051263e-12,6.37132530338054e-10,6.57921492204613
"NACC2 ",358.87773788824,4.13710573811474,0.608247593815571,6.80168040149974,1.03405802330437e-11,1.61773677482226e-09,4.13710573811474
"FERMT2 ",230.339036428359,-5.8637238230096,0.867661566073495,-6.75807717235329,1.39835048694985e-11,2.12957641857699e-09,5.8637238230096
"FLVCR2 ",124.212875240974,4.55371067705678,0.674076233020131,6.75548321390049,1.42359990150279e-11,2.1490114653475e-09,4.55371067705678
"F5 ",1008.14474124368,6.08988763317677,0.90492154346689,6.72974102245981,1.69965327579151e-11,2.50999896913446e-09,6.08988763317677
"C14orf132 ",212.785008087225,-7.4407287248976,1.10574457928085,-6.72915686345653,1.70649008884149e-11,2.50999896913446e-09,7.4407287248976
"FZD8 ",111.336166621319,-6.21116439758407,0.927509296914919,-6.69660608065455,2.13315616521904e-11,3.05912370393787e-09,6.21116439758407
"LOC105375903 ",105.347099904776,-4.24237748650641,0.633924472576257,-6.69224437615647,2.19773442080902e-11,3.12568691303326e-09,4.24237748650641
"SCN4A ",270.259478382259,-4.01675883879998,0.601405177549805,-6.67895619915466,2.40650067620285e-11,3.39454673252253e-09,4.01675883879998
"ARNT2 ",145.135312683258,-8.18465997102531,1.22711907028333,-6.6698172730178,2.56122112721696e-11,3.55452051437715e-09,8.18465997102531
"TRAT1 ",111.642576421008,4.77856696576129,0.717329039188011,6.66161092707253,2.70842257703384e-11,3.72873953025403e-09,4.77856696576129
"MDFI ",198.284015856094,-6.6647979483632,1.0094800851302,-6.60220845020788,4.05077380318876e-11,5.44607549836526e-09,6.6647979483632
"CCDC144B ",170.474381573496,6.41334159845255,0.974744672006705,6.57950926292258,4.72003505526994e-11,6.2482371743185e-09,6.41334159845255
"FRG2EP ",115.667774341442,-10.2839356904981,1.56811012093324,-6.55817187403764,5.44714070081055e-11,7.04810859550743e-09,10.2839356904981
"PTGDR2 ",77.6026387480812,4.80015266918755,0.73466312810734,6.53381459547839,6.41153087431216e-11,8.23403244895806e-09,4.80015266918755
"TBC1D8B ",163.723285876434,-10.7849365293609,1.65268027938331,-6.52572470543744,6.76735177131103e-11,8.62661900981419e-09,10.7849365293609
"SHISA2 ",857.098137484233,-11.7415952593868,1.80281233358913,-6.51293262233847,7.36975737412442e-11,9.2573835511903e-09,11.7415952593868
"CORO2B ",751.484410867341,-4.88586497523521,0.752235745342417,-6.49512470723013,8.29646576087858e-11,1.03397419414903e-08,4.88586497523521
"LINC02910 ",106.155876507718,5.11015341435088,0.786888337930134,6.49412777903514,8.35158422841045e-11,1.03397419414903e-08,5.11015341435088
"SLC24A4 ",380.632201567225,5.79806877798007,0.898442858199179,6.453464151968,1.09321871423178e-10,1.33426956405778e-08,5.79806877798007
"SLC46A2 ",114.23504709718,7.84590417174915,1.21880414379402,6.43737897651515,1.21554171723349e-10,1.47311671914586e-08,7.84590417174915
"LGALS12 ",124.928135930642,4.85270395419295,0.754538554825918,6.43135320674572,1.26472886833573e-10,1.51143882605483e-08,4.85270395419295
"GHR ",144.760615695938,-6.61717927691469,1.02936323633783,-6.42842005943078,1.28937029401973e-10,1.53026023377831e-08,6.61717927691469
"LGALS2 ",94.6490251270576,6.9771338855778,1.08742225372833,6.41621399751204,1.39705031966887e-10,1.63845742193535e-08,6.9771338855778
"SIGLEC5 ",436.052980356214,4.45594973644607,0.699797031066392,6.36748876978776,1.92148113269763e-10,2.18985223924461e-08,4.45594973644607
"GPR141 ",550.020607866846,5.09925591553678,0.801378717081341,6.36310374464211,1.97717045212076e-10,2.23849515200962e-08,5.09925591553678
"CFAP251 ",297.013058277441,-4.3690936675285,0.69020070756071,-6.33017848238614,2.44877773485654e-10,2.71877522833201e-08,4.3690936675285
"C3AR1 ",847.887623029783,4.07628664748684,0.646663236524997,6.30356948910805,2.90867712415874e-10,3.20868106600306e-08,4.07628664748684
"USP32P2 ",220.198738847245,5.28348527377608,0.838901713900218,6.29809808018168,3.01319841758391e-10,3.30281092791092e-08,5.28348527377608
